customer_id,first_name,last_name,gender,age,city,state,country,join_date
1,Vrishti,Sibal,Male,19,Jehanabad,Tamil Nadu,India,2025-11-11
2,Nikita,Sarma,Female,33,Panvel,Tamil Nadu,India,2022-10-31
3,Girik,Chahal,Male,26,Nagpur,Kerala,India,2024-06-06
4,Urvashi,Lall,Male,61,Gandhinagar,Andhra Pradesh,India,2024-12-08
5,Nitesh,Bakshi,Male,55,Kavali,Madhya Pradesh,India,2024-05-23
6,Gavin,Ramanathan,Female,20,Nanded,Mizoram,India,2025-07-14
7,Matthew,Agate,Male,23,Kurnool,West Bengal,India,2024-03-24
8,Tripti,Dara,Male,32,Fatehpur,Haryana,India,2025-10-25
9,Orinder,Prashad,Male,53,Bhalswa Jahangir Pur,Nagaland,India,2026-05-22
10,Nidra,Kulkarni,Male,63,Chandigarh,Bihar,India,2022-12-18
11,Hamsini,Wable,Female,32,Nanded,Madhya Pradesh,India,2023-05-30
12,Nakul,Kohli,Female,55,Munger,Himachal Pradesh,India,2023-06-24
13,Dalbir,Ratta,Female,18,Pune,Rajasthan,India,2024-02-22
14,Gavin,Gopal,Male,62,Ichalkaranji,Jharkhand,India,2022-09-07
15,Dhriti,Shetty,Female,39,Agra,Manipur,India,2025-12-08
16,Jhalak,Mandal,Female,27,Guwahati,Chhattisgarh,India,2023-05-14
17,Mason,Gera,Male,39,Bhalswa Jahangir Pur,Tripura,India,2025-09-14
18,Jagat,Reddy,Male,23,Tadipatri,Meghalaya,India,2024-11-09
19,Mahika,Bhagat,Female,24,Haridwar,Nagaland,India,2024-03-02
20,Udant,Pillai,Female,40,Kollam,Gujarat,India,2024-03-16
21,Jhalak,Yogi,Female,20,Munger,Nagaland,India,2026-05-21
22,Yatan,Sagar,Female,52,Durg,Maharashtra,India,2024-09-23
23,Qarin,Hans,Male,42,Vijayawada,Odisha,India,2023-12-30
24,Yug,Agate,Male,53,Burhanpur,Assam,India,2025-05-02
25,Dayita,Nair,Female,58,Proddatur,Odisha,India,2025-03-25
26,Udant,De,Female,54,Udupi,Andhra Pradesh,India,2024-01-17
27,Charles,Rai,Male,63,Fatehpur,Assam,India,2025-02-19
28,Vasatika,Sarin,Male,20,Berhampur,Bihar,India,2026-07-09
29,Watika,Amble,Male,36,Bhavnagar,Nagaland,India,2023-10-20
30,Vyanjana,Deep,Male,32,Varanasi,Karnataka,India,2024-08-27
31,Imaran,Vora,Male,42,Kota,Sikkim,India,2026-01-25
32,Unnati,Boase,Female,47,Raebareli,Uttar Pradesh,India,2023-12-11
33,Aishani,Sandal,Female,28,Jalna,Maharashtra,India,2023-09-29
34,Hritik,Rastogi,Female,40,Dhanbad,Gujarat,India,2023-04-25
35,Ubika,Dugal,Male,60,Guwahati,Maharashtra,India,2023-01-19
36,Vasudha,Kulkarni,Female,62,Coimbatore,Tripura,India,2024-06-15
37,Aarna,Sathe,Male,56,Aizawl,Uttar Pradesh,India,2026-05-21
38,Girik,Ranganathan,Male,52,Kollam,Tamil Nadu,India,2024-01-19
39,Rehaan,Sama,Male,28,Raurkela Industrial Township,Chhattisgarh,India,2022-10-27
40,Lohit,Chhabra,Female,42,North Dumdum,Meghalaya,India,2023-07-01
41,Mitali,Lall,Female,58,Kurnool,Tripura,India,2025-07-26
42,Tripti,Sane,Male,61,Khora ,Arunachal Pradesh,India,2024-09-10
43,Harish,Prabhakar,Female,21,Darbhanga,Rajasthan,India,2026-05-31
44,Abdul,Balasubramanian,Male,20,Ulhasnagar,Andhra Pradesh,India,2023-01-03
45,Neel,Acharya,Female,43,Belgaum,Assam,India,2023-04-05
46,Tarak,Tandon,Female,22,Aurangabad,Haryana,India,2025-03-27
